race,credit_score,zipcode,will_default
hispanic,498,71202,False
white,812,71204,False
white,604,71203,True
black,339,71207,True
hispanic,582,71205,False
black,594,71203,True
white,617,71202,False
asian,788,71201,False
asian,693,71201,False
hispanic,479,71204,False
hispanic,832,71207,False
black,640,71205,True
hispanic,438,71207,True
asian,681,71201,False
white,695,71205,False
hispanic,585,71206,True
black,470,71205,True
hispanic,607,71205,True
white,791,71202,False
white,687,71204,False
white,546,71202,False
hispanic,460,71204,True
hispanic,772,71207,False
black,631,71201,True
black,442,71205,True
black,520,71200,False
white,638,71204,False
white,690,71203,False
hispanic,666,71205,False
white,775,71202,False
hispanic,599,71202,False
white,651,71200,False
white,735,71201,False
white,607,71203,True
white,689,71203,False
white,454,71207,True
white,589,71203,True
asian,594,71200,False
hispanic,690,71204,False
white,393,71201,True
hispanic,714,71205,False
black,492,71207,True
white,683,71202,False
asian,682,71200,False
black,338,71204,True
black,540,71207,True
black,717,71207,False
hispanic,508,71207,True
white,401,71201,True
white,727,71203,False
asian,843,71206,False
white,717,71202,False
white,618,71203,True
white,749,71207,False
white,670,71201,False
asian,611,71202,False
white,791,71202,False
asian,805,71202,False
hispanic,342,71204,True
white,524,71204,False
black,382,71206,True
white,625,71202,False
hispanic,421,71205,True
white,738,71202,False
white,443,71202,True
hispanic,690,71205,False
hispanic,653,71207,False
asian,619,71200,False
black,380,71207,True
asian,780,71200,False
white,706,71202,False
hispanic,303,71207,True
white,739,71203,False
white,665,71203,True
white,824,71206,False
hispanic,641,71205,False
black,463,71205,True
white,827,71202,False
white,412,71202,True
black,334,71206,True
white,345,71203,True
white,750,71202,False
white,723,71206,False
white,684,71206,False
hispanic,519,71202,True
asian,838,71205,False
black,305,71205,True
hispanic,355,71205,True
black,523,71206,True
white,785,71203,False
asian,806,71200,False
white,609,71206,False
asian,724,71202,False
hispanic,597,71201,True
asian,712,71200,False
white,454,71203,True
black,362,71207,True
asian,726,71203,False
hispanic,406,71205,True
white,730,71206,False
hispanic,520,71205,True
white,619,71203,False
asian,738,71201,False
white,659,71207,False
white,582,71200,True
asian,607,71204,False
asian,503,71204,True
hispanic,677,71203,False
asian,669,71200,False
hispanic,764,71205,False
black,388,71205,True
black,485,71206,True
white,519,71206,False
asian,709,71201,False
white,641,71202,False
asian,508,71200,True
asian,606,71207,False
white,667,71202,False
asian,738,71206,False
hispanic,502,71201,True
white,797,71206,False
asian,445,71207,True
white,405,71202,True
